epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.222,1.35592,3.54577,1.85531,0.43534,0.28084,0.33369,0.22542,1.13511,3.57476,2.11248,2.858e-05,2.858e-05,2.858e-05
2,39.0091,1.57048,2.83245,1.96349,0.31316,0.66222,0.47771,0.34758,0.81812,3.87147,1.57017,7.10963e-05,7.10963e-05,7.10963e-05
3,58.0222,1.08707,2.58901,1.63396,0.47981,0.78157,0.61658,0.39666,0.76018,7.62163,1.51215,0.000113188,0.000113188,0.000113188
4,77.8147,1.08228,2.17242,1.576,0.51698,0.63889,0.48172,0.30403,0.83928,6.35974,1.49091,0.000154856,0.000154856,0.000154856
5,97.0446,1.53161,2.28064,1.87846,0.52521,0.78218,0.60456,0.3937,1.05409,3.56121,1.65925,0.000196099,0.000196099,0.000196099
6,116.257,0.79296,1.41398,1.27015,0.61696,0.55556,0.52801,0.35853,0.937,3.94828,1.65678,0.000236917,0.000236917,0.000236917
7,136.366,0.58626,1.26002,1.15463,0.46001,0.63889,0.4591,0.35081,0.91111,3.76175,1.66696,0.000277312,0.000277312,0.000277312
8,155.467,0.70086,1.36489,1.29306,0.63908,0.83096,0.77697,0.58173,1.02054,1.86776,1.85383,0.000317282,0.000317282,0.000317282
9,174.479,0.76246,1.34809,1.4466,0.57433,0.52778,0.64028,0.45722,0.98293,2.46145,1.74731,0.000356827,0.000356827,0.000356827
10,193.806,0.64602,1.27765,1.27607,0.65539,0.77447,0.76392,0.50607,1.02279,2.1598,1.74458,0.000395948,0.000395948,0.000395948
11,212.817,0.86703,1.55427,1.37178,0.38852,0.81887,0.64261,0.50144,0.9481,2.29731,1.86043,0.000434645,0.000434645,0.000434645
12,232.342,0.83893,1.14451,1.32567,0.68714,0.86703,0.8429,0.69398,0.80584,1.28089,1.67888,0.000472917,0.000472917,0.000472917
13,252.929,0.74634,1.24466,1.30737,0.41269,0.91667,0.83528,0.69148,0.79678,3.37155,1.60383,0.000510765,0.000510765,0.000510765
14,280.303,0.62005,1.07364,1.19952,0.82184,0.55556,0.84094,0.71471,0.74306,1.85431,1.56043,0.000548188,0.000548188,0.000548188
15,304.607,0.56738,1.32954,1.19474,0.82779,0.54631,0.89,0.70751,0.93725,2.37846,1.57244,0.000585187,0.000585187,0.000585187
16,344.913,0.99862,1.52361,1.86717,0.8056,0.7388,0.91038,0.69755,0.78923,1.62306,1.4031,0.000621761,0.000621761,0.000621761
