epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.981,1.14354,2.26997,1.38228,0.7093,0.5838,0.63126,0.43721,1.13082,2.65556,1.50102,0.00032867,0.00032867,0.00032867
2,469.561,1.1684,1.55696,1.36768,0.61421,0.40887,0.39669,0.22825,1.69911,5.50885,2.42861,0.000658332,0.000658332,0.000658332
3,666.651,1.26098,1.61385,1.47589,0.34215,0.41104,0.27775,0.0974,2.31598,20.5814,5.14703,0.000974412,0.000974412,0.000974412
4,875.751,1.3949,1.69467,1.5348,0.15471,0.40673,0.15542,0.06319,2.61254,6.39104,3.49616,0.00127691,0.00127691,0.00127691
5,1086.78,1.4312,1.67424,1.56263,0.30122,0.35819,0.29305,0.15232,2.09964,5.53886,2.74803,0.00131582,0.00131582,0.00131582
6,1285.68,1.43312,1.64062,1.55525,0.40474,0.26021,0.15053,0.07663,2.65358,7.0708,3.66812,0.00128753,0.00128753,0.00128753
7,1483.26,1.44674,1.66407,1.58193,0.32512,0.36765,0.24312,0.11405,1.97789,3.18993,2.44641,0.00125923,0.00125923,0.00125923
8,1689.56,1.42709,1.63063,1.57916,0.37591,0.46291,0.37059,0.17486,1.84012,2.8292,2.25589,0.00123094,0.00123094,0.00123094
9,1892.87,1.36538,1.51092,1.52845,0.53204,0.40749,0.462,0.20543,2.04211,3.02543,2.8295,0.00120265,0.00120265,0.00120265
10,2092.63,1.39616,1.52331,1.53267,0.61033,0.51529,0.5729,0.28728,1.91212,1.95517,2.36872,0.00117435,0.00117435,0.00117435
11,2291.77,1.35919,1.48036,1.52821,0.40828,0.61858,0.51144,0.23827,1.92294,2.14982,2.38946,0.00114606,0.00114606,0.00114606
12,2493.66,1.28788,1.39733,1.46255,0.54337,0.38484,0.36587,0.19393,1.9744,2.7641,2.44013,0.00111776,0.00111776,0.00111776
13,2699.94,1.27999,1.42734,1.47027,0.3555,0.53156,0.44855,0.28012,1.70943,2.45475,2.05295,0.00108947,0.00108947,0.00108947
14,2905.24,1.3304,1.40702,1.4842,0.66071,0.48412,0.55989,0.28469,1.7781,1.91225,2.21456,0.00106118,0.00106118,0.00106118
15,3105.96,1.26029,1.25637,1.43984,0.51118,0.52074,0.49856,0.29653,1.71333,2.20515,2.10379,0.00103288,0.00103288,0.00103288
16,3310.83,1.22251,1.25014,1.4126,0.6274,0.56784,0.55245,0.30128,1.67773,2.11755,2.04953,0.00100459,0.00100459,0.00100459
17,3512.14,1.20654,1.27651,1.40321,0.43162,0.53202,0.50144,0.27617,1.75746,2.03131,2.11128,0.000976293,0.000976293,0.000976293
18,3719.36,1.24089,1.27639,1.44585,0.54389,0.69616,0.6628,0.37459,1.52235,1.53394,1.86167,0.000947999,0.000947999,0.000947999
19,3927.67,1.18866,1.2442,1.39292,0.65306,0.63243,0.70466,0.43535,1.46257,1.47,1.7794,0.000919704,0.000919704,0.000919704
20,4143.26,1.15567,1.15818,1.36233,0.80454,0.52045,0.61526,0.37291,1.60975,1.77016,1.93706,0.00089141,0.00089141,0.00089141
21,4348.33,1.16483,1.09342,1.37414,0.81675,0.57947,0.71178,0.39482,1.65023,1.43363,1.96936,0.000863116,0.000863116,0.000863116
22,4550.06,1.14922,1.13938,1.37981,0.74405,0.58642,0.62659,0.3729,1.60468,1.63928,1.97741,0.000834822,0.000834822,0.000834822
23,4756.65,1.11319,1.10467,1.34616,0.55193,0.50286,0.57378,0.34492,1.57401,1.95232,1.90701,0.000806528,0.000806528,0.000806528
24,4958.06,1.09277,1.0369,1.29491,0.65841,0.66558,0.70326,0.43957,1.4525,1.47677,1.79724,0.000778233,0.000778233,0.000778233
25,5156.86,1.03198,0.95875,1.26574,0.62698,0.60546,0.71009,0.42602,1.46982,1.55999,1.89576,0.000749939,0.000749939,0.000749939
26,5362.43,1.04314,0.96306,1.28063,0.7679,0.68589,0.74408,0.46158,1.41413,1.19474,1.79939,0.000721645,0.000721645,0.000721645
27,5565.24,1.02105,0.93051,1.26825,0.68644,0.69986,0.73046,0.48433,1.38623,1.25663,1.72488,0.000693351,0.000693351,0.000693351
